sta_code,sta_name,lost_count,throughput_window,loss_rate_per_100k,high_value_share,residual
3290,精武,1,1232930.0,0.08,0.0,-0.913
0960,汐止,6,9969593.0,0.06,0.5,-0.918
4150,隆田,1,1249982.0,0.08,0.0,-0.918
4420,科工館,1,1281658.0,0.08,1.0,-0.927
4050,大林,1,1438198.0,0.07,0.0,-0.971
1130,富岡,1,1705974.0,0.06,1.0,-1.035
2200,大甲,1,2541872.0,0.04,0.0,-1.184
0930,七堵,2,5778255.0,0.03,0.5,-1.191
3320,大慶,1,2745499.0,0.04,0.0,-1.213
0970,汐科,2,10434998.0,0.02,0.0,-1.412
1090,內壢,1,8571924.0,0.01,0.0,-1.639
